gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Support_Tickets,App_Logins,Data_Usage_GB,Gouvernorat
Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.0,141.6,No,3,26,50.16,Sfax
Male,0,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),73.05,4688.65,No,2,23,111.88,Sfax
Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.5,563.05,No,4,10,70.87,Kebili
Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),100.75,5985.0,No,3,28,28.46,Kasserine
Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.25,1258.6,Yes,9,0,15.89,Tunis
Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,373.5,No,3,17,97.01,Kairouan
Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,857.2,Yes,5,3,22.66,Monastir
Female,0,Yes,No,51,No,No phone service,DSL,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.65,2553.35,No,4,10,48.38,Sfax
Female,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Two year,No,Mailed check,65.65,4322.85,No,0,30,55.58,Ben Arous
Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.45,250.8,No,4,8,10.02,Nabeul
Male,0,Yes,Yes,72,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),60.95,4549.05,No,0,23,19.84,Tunis
Male,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.35,1359.5,No,3,18,100.0,Tunis
Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.35,1639.3,Yes,9,0,7.84,Nabeul
Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.5,178.85,No,1,9,119.99,Sousse
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2,633.85,No,2,20,135.67,Nabeul
Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),111.45,5315.1,No,4,9,119.92,Tunis
Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Mailed check,70.15,735.5,No,3,28,146.95,Sousse
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,889.9,Yes,6,0,44.71,Tunis
Female,1,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.05,1290.0,Yes,5,2,16.9,Nabeul
Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Electronic check,78.45,330.05,Yes,6,2,7.36,Sousse
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,237.95,Yes,10,1,45.58,Tunis
Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.0,6474.4,No,0,29,65.21,Jendouba
Female,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),85.5,4421.95,No,1,29,17.76,Médiénine
Male,0,Yes,No,59,No,No phone service,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.05,2452.7,Yes,8,5,24.78,Siliana
Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.6,813.85,Yes,9,5,3.17,Bizerte
Male,1,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.15,4904.85,No,1,10,91.26,Kairouan
Male,0,No,No,54,Yes,No,Fiber optic,Yes,No,Yes,No,No,One year,No,Electronic check,84.4,4484.05,No,3,29,118.01,Mahdia
Female,0,No,No,33,Yes,Yes,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,60.9,2033.85,No,2,16,25.83,Jendouba
Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.25,538.2,No,4,26,121.23,Kairouan
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.2,79.2,Yes,7,1,26.09,Tunis
Male,0,No,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.3,2192.9,No,0,9,100.31,Sousse
Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,19.85,No,4,7,145.91,Tunis
Male,0,Yes,Yes,45,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.35,3858.05,No,3,24,122.81,Sousse
Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.85,854.8,No,4,11,116.01,Kasserine
Male,0,No,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,70.0,347.4,Yes,6,4,34.48,Gabès
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),82.3,5815.15,No,2,30,38.12,Tunis
Female,0,Yes,Yes,58,Yes,Yes,DSL,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.8,3970.4,No,0,14,28.21,Zaghouan
Female,0,No,No,70,No,No phone service,DSL,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),44.6,3058.15,No,3,17,19.96,Bizerte
Male,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),98.45,6145.2,No,1,13,109.27,Sidi Bouzid
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Mailed check,70.7,129.2,No,1,8,70.85,Sfax
Female,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.95,1165.9,No,4,27,12.9,Médiénine
Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.95,49.95,Yes,8,0,14.01,Tunis
Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,1554.0,Yes,9,2,44.55,Sousse
Female,0,No,No,48,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),102.5,4904.25,No,1,27,94.65,Monastir
Male,0,No,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.55,5632.55,No,2,5,100.63,Mahdia
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.3,1643.25,No,2,9,148.27,Ariana
Female,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),58.35,740.55,No,4,11,139.48,Sousse
Female,1,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.25,3217.55,Yes,4,2,23.26,Gabès
Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),68.75,4888.2,No,0,24,77.18,Sidi Bouzid
Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.8,2440.25,No,0,20,63.21,Ben Arous
Male,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.1,620.55,No,1,18,23.43,Gafsa
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,20.35,No,1,10,61.22,Bizerte
Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,110.8,6840.95,No,3,30,129.18,Tunis
Male,0,Yes,No,41,Yes,Yes,DSL,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,73.0,3001.2,Yes,8,3,16.2,Tunis
Female,0,No,No,64,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),100.05,6254.2,Yes,9,2,20.51,Sfax
Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),82.85,319.6,No,2,13,97.85,Sousse
Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,84.35,1938.05,No,2,6,61.55,Gabès
Female,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.55,294.5,No,3,17,66.91,Sfax
Male,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.3,No,0,27,104.39,Sfax
Female,1,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.8,442.85,Yes,6,5,19.39,Sidi Bouzid
Female,0,No,Yes,18,No,No phone service,DSL,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.0,553.0,Yes,8,0,34.19,Sidi Bouzid
Male,0,No,No,8,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.25,546.45,No,0,11,75.63,Ariana
Female,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.3,797.1,No,2,11,20.75,Ben Arous
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,No,Electronic check,76.0,76.0,Yes,5,1,30.18,Tunis
Male,0,No,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.3,1673.8,No,0,21,130.26,Tunis
Male,0,No,Yes,8,No,No phone service,DSL,Yes,No,No,No,Yes,Two year,Yes,Mailed check,44.55,343.45,No,2,8,70.87,Tunis
Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.1,7412.25,No,0,18,13.26,Gafsa
Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.55,4039.0,No,1,29,139.32,Tataouine
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,170.85,Yes,5,1,19.72,Kairouan
Male,1,No,No,29,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.45,2948.6,No,1,24,72.82,Tozeur
Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.3,1308.4,Yes,10,0,44.63,Sousse
Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),94.55,6078.75,No,4,25,66.3,Nabeul
Male,0,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,95.5,3418.2,No,0,28,83.57,Ariana
Male,0,No,No,64,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.3,6603.8,No,3,13,81.74,Sfax
Female,0,Yes,Yes,58,No,No phone service,DSL,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),55.5,3166.9,No,4,28,104.7,Tunis
Female,1,No,No,18,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),49.85,865.75,No,3,16,38.96,Manouba
Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.55,6373.1,No,4,18,47.85,Sfax
Male,0,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.15,1177.05,No,2,23,40.85,Sfax
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,5985.75,No,4,19,53.32,Gabès
Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.4,732.5,Yes,7,5,4.11,Sousse
Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.05,7869.05,No,3,22,18.55,Mahdia
Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.1,1504.05,Yes,10,2,13.12,Tunis
Female,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.95,936.7,No,0,12,117.11,Tunis
Male,0,Yes,No,12,Yes,No,DSL,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.15,741.4,No,0,8,60.76,Zaghouan
Male,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,92.0,6585.2,No,1,7,27.1,Nabeul
Male,1,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,No,Electronic check,73.85,3122.4,No,1,15,66.04,Monastir
Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.45,50.45,Yes,4,4,4.8,Sfax
Male,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.45,1088.25,No,2,15,30.22,Gafsa
Female,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.8,615.35,No,1,27,44.02,Kairouan
Female,0,Yes,No,43,Yes,Yes,DSL,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),64.85,2908.2,No,0,17,145.51,Sousse
Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.75,739.9,No,2,25,68.75,Ariana
Male,0,Yes,No,9,Yes,No,DSL,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,68.95,593.85,No,4,15,78.57,Nabeul
Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,99.95,1132.75,Yes,8,4,34.61,Tunis
Female,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.4,7227.45,No,2,30,75.37,Ben Arous
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,91.4,193.6,Yes,8,2,25.82,Gafsa
Male,0,No,No,27,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,No,Mailed check,49.0,1291.35,No,4,24,97.96,Manouba
Female,0,No,No,40,Yes,No,DSL,No,No,Yes,No,No,One year,Yes,Mailed check,50.25,2023.55,No,3,29,30.67,Sousse
Female,1,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),75.55,349.65,Yes,5,2,0.96,Sousse
Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.9,153.95,No,3,29,38.3,Ariana
Female,1,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.8,5458.8,No,1,7,135.1,Mahdia
Female,0,Yes,Yes,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,100.3,5244.45,No,2,23,79.51,Ben Arous
Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,55.8,154.55,No,3,5,67.02,Tunis
Male,0,No,Yes,41,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111.15,4507.15,No,1,5,114.88,Gabès
Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.55,2031.95,No,3,22,72.38,Ben Arous
Male,0,No,Yes,1,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.05,50.05,No,1,14,18.24,Nabeul
Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,No,Credit card (automatic),80.8,332.45,Yes,7,5,25.18,Gabès
Male,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.85,473.9,No,3,27,61.43,Bizerte
Female,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.5,106.8,No,3,12,41.01,Gabès
Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.35,152.6,No,3,29,119.15,Kairouan
Male,0,No,No,18,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,69.5,1199.4,No,4,20,14.27,Tunis
Male,1,No,No,52,No,No phone service,DSL,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,No,2,28,63.12,Nabeul
Male,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,2979.2,No,1,9,62.39,Kasserine
Male,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.65,654.85,No,4,16,119.8,Sfax
Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),106.05,3834.4,No,2,25,141.99,Sfax
Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.0,1534.75,Yes,9,0,11.23,Tunis
Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,108.3,4586.15,No,2,19,74.31,Kairouan
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.55,20.55,Yes,9,3,25.49,Médiénine
Female,0,No,No,60,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,99.65,5941.05,No,2,13,106.96,Bizerte
Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.3,424.15,Yes,5,5,12.09,Bizerte
Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),95.9,2234.95,No,2,17,57.85,Tunis
Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,666.75,No,1,15,113.75,Nabeul
Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,281.0,Yes,6,3,37.69,Bizerte
Male,0,No,No,9,Yes,No,DSL,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,64.95,547.8,No,4,5,135.65,Gafsa
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),74.6,74.6,No,4,29,62.39,Kasserine
Male,0,Yes,Yes,12,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.2,571.15,No,0,11,145.12,Nabeul
Female,0,No,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,One year,Yes,Mailed check,73.75,1756.6,No,2,9,127.8,Mahdia
Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),92.3,5731.45,No,2,5,51.71,Siliana
Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.8,3475.55,Yes,4,4,6.72,Sfax
Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.2,156.85,No,1,28,28.32,Sidi Bouzid
Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),88.65,2683.2,No,1,29,59.19,Bizerte
Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,Yes,10,0,10.45,Jendouba
Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.75,2407.3,Yes,10,5,36.94,Manouba
Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.95,4456.65,No,4,25,120.55,Manouba
Female,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),105.4,6998.95,No,1,13,74.08,Béja
Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,36.8,No,4,20,136.87,Tataouine
Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.0,6547.7,Yes,5,5,40.14,Kasserine
Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.7,4346.4,Yes,10,0,47.12,Kairouan
Female,0,No,No,44,No,No phone service,DSL,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,49.05,2265.0,No,0,15,71.85,Sousse
Male,0,No,No,39,No,No phone service,DSL,No,No,Yes,No,No,One year,No,Mailed check,35.55,1309.15,No,1,10,147.16,Zaghouan
Male,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),65.1,4754.3,No,2,14,67.37,Mahdia
Female,1,No,No,13,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.85,1235.55,No,2,29,130.95,Sfax
Female,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),69.75,3562.5,No,2,24,132.84,Kairouan
Female,1,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,99.2,7213.75,No,3,27,106.79,Kasserine
Male,1,No,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.7,2082.95,Yes,8,4,23.29,Gabès
Female,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),55.05,102.75,Yes,4,5,13.33,Sousse
Female,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,106.8,5914.4,No,1,23,98.48,Gabès
Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,No,Mailed check,51.25,51.25,No,4,18,89.57,Tunis
Female,0,Yes,Yes,23,Yes,No,DSL,Yes,Yes,No,No,No,One year,Yes,Mailed check,57.75,1282.85,No,0,30,93.21,Ben Arous
Female,1,Yes,No,66,Yes,Yes,DSL,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),70.85,4738.85,No,2,23,132.21,Sousse
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,No,2,17,145.77,Sousse
Male,1,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.2,1775.8,Yes,6,3,35.53,Ariana
Male,0,No,No,11,Yes,No,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),79.5,795.65,No,4,8,18.52,Tunis
Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.75,145.0,Yes,10,2,14.69,Kef
Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),98.15,4993.4,No,0,19,117.45,Béja
Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.25,61.45,No,4,22,125.45,Médiénine
Female,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.15,4018.55,No,4,25,118.49,Tataouine
Male,1,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,No,Electronic check,75.65,1146.65,Yes,4,1,20.12,Sfax
Male,1,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.25,6081.4,No,0,28,123.86,Sfax
Female,0,No,No,37,No,No phone service,DSL,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),40.2,1478.85,No,2,7,44.33,Sfax
Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.95,243.65,No,1,7,28.97,Sidi Bouzid
Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,No,No,No,One year,Yes,Electronic check,55.35,2633.95,No,3,20,12.1,Kairouan
Female,1,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),102.15,4735.35,No,0,14,94.79,Ben Arous
Female,0,No,No,18,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.1,1247.75,No,2,23,136.58,Mahdia
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,Yes,5,3,26.69,Tataouine
Male,0,Yes,No,68,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),54.1,3794.5,No,1,12,57.4,Sfax
Male,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.65,1008.7,No,1,20,137.77,Nabeul
Female,1,Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.45,2130.55,No,0,7,121.67,Médiénine
